ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2017	12-JUL-17	SONOMA	49M07N09W27	APPLE	ASSAIL 70WP INSECTICIDE	3.35	ACETAMIPRID	2.345	16	A	G
NO	2017	15-AUG-17	SONOMA	49M07N09W27	APPLE	ASSAIL 70WP INSECTICIDE	3.7688	ACETAMIPRID	2.63816	18	A	G
NO	2017	03-MAR-17	SONOMA	49M07N09W28	APPLE	BADGE X2	6	COPPER HYDROXIDE	1.2894	2	A	A
NO	2017	03-MAR-17	SONOMA	49M07N09W28	APPLE	BADGE X2	6	COPPER OXYCHLORIDE	1.4292	2	A	A
NO	2017	16-APR-17	SONOMA	49M07N09W22	APPLE	BRANDT LIME SULFUR	45.4425	LIME-SULFUR	13.178325	2	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W20	APPLE	BSP LIME SULFUR SOLUTION	264.4775	LIME-SULFUR	76.698475	5	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W28	APPLE	BSP LIME SULFUR SOLUTION	634.746	LIME-SULFUR	184.07634	12	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W29	APPLE	BSP LIME SULFUR SOLUTION	264.4775	LIME-SULFUR	76.698475	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	66.1194	LIME-SULFUR	19.174626	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W20	APPLE	BSP LIME SULFUR SOLUTION	58.1851	LIME-SULFUR	16.873679	4.4	A	G
NO	2017	08-MAY-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	26.4478	LIME-SULFUR	7.669862	2	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	2221.611	LIME-SULFUR	644.26719	42	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W29	APPLE	BSP LIME SULFUR SOLUTION	581.8505	LIME-SULFUR	168.736645	11	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	296.2148	LIME-SULFUR	85.902292	5.6	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W22	APPLE	BSP LIME SULFUR SOLUTION	211.582	LIME-SULFUR	61.35878	4	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W28	APPLE	BSP LIME SULFUR SOLUTION	581.8505	LIME-SULFUR	168.736645	11	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W29	APPLE	BSP LIME SULFUR SOLUTION	66.1194	LIME-SULFUR	19.174626	5	A	G
NO	2017	08-MAY-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	396.7163	LIME-SULFUR	115.047727	30	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	52.8955	LIME-SULFUR	15.339695	4	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W28	APPLE	BSP LIME SULFUR SOLUTION	145.4626	LIME-SULFUR	42.184154	11	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W20	APPLE	BSP LIME SULFUR SOLUTION	1481.074	LIME-SULFUR	429.51146	28	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	528.955	LIME-SULFUR	153.39695	40	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W27	APPLE	BSP LIME SULFUR SOLUTION	74.0537	LIME-SULFUR	21.475573	1.4	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W27	APPLE	BSP LIME SULFUR SOLUTION	21.1582	LIME-SULFUR	6.135878	1.6	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W29	APPLE	BSP LIME SULFUR SOLUTION	264.4775	LIME-SULFUR	76.698475	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W29	APPLE	BSP LIME SULFUR SOLUTION	145.4626	LIME-SULFUR	42.184154	11	A	G
NO	2017	08-MAY-17	SONOMA	49M07N09W28	APPLE	BSP LIME SULFUR SOLUTION	145.4626	LIME-SULFUR	42.184154	11	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W28	APPLE	BSP LIME SULFUR SOLUTION	158.6865	LIME-SULFUR	46.019085	12	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	264.4775	LIME-SULFUR	76.698475	5	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W29	APPLE	BSP LIME SULFUR SOLUTION	169.2656	LIME-SULFUR	49.087024	3.2	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	190.4238	LIME-SULFUR	55.222902	3.6	A	G
NO	2017	11-MAR-17	SONOMA	49M07N09W20	APPLE	BSP LIME SULFUR SOLUTION	275.0566	LIME-SULFUR	79.766414	5.2	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W21	APPLE	BSP LIME SULFUR SOLUTION	79.3433	LIME-SULFUR	23.009557	6	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W29	APPLE	BSP LIME SULFUR SOLUTION	42.3164	LIME-SULFUR	12.271756	3.2	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W22	APPLE	BSP LIME SULFUR SOLUTION	66.1194	LIME-SULFUR	19.174626	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W29	APPLE	BSP LIME SULFUR SOLUTION	66.1194	LIME-SULFUR	19.174626	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W20	APPLE	BSP LIME SULFUR SOLUTION	79.3433	LIME-SULFUR	23.009557	6	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W20	APPLE	BSP LIME SULFUR SOLUTION	370.2685	LIME-SULFUR	107.377865	28	A	G
NO	2017	13-JUL-17	SONOMA	49M07N09W20	APPLE	CYD-X HP	.0272	CODLING MOTH GRANULOSIS VIRUS	.00001632	3	A	G
NO	2017	17-JUN-17	SONOMA	49M07N09W21	APPLE	DANITOL 2.4 EC SPRAY	4.0492	FENPROPATHRIN	1.2512028	4	A	G
NO	2017	16-JUN-17	SONOMA	49M07N09W20	APPLE	DANITOL 2.4 EC SPRAY	20.2461	FENPROPATHRIN	6.2560449	20	A	G
NO	2017	08-MAY-17	SONOMA	49M07N09W20	APPLE	DANITOL 2.4 EC SPRAY	20.2461	FENPROPATHRIN	6.2560449	20	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W20	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	20	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	10.8	10	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W21	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	88	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	47.52	44	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W21	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	12	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	6.48	6	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W21	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	7.6	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	4.104	3.8	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W28	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	22	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	11.88	11	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W29	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	6.4	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	3.456	3.2	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W27	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	3.2	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	1.728	1.6	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W28	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	24	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	12.96	12	A	G
NO	2017	11-AUG-17	SONOMA	49M07N09W20	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	6	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	3.24	3	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W29	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	10	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	5.4	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W29	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	10	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	5.4	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W22	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	10	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	5.4	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W20	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	36.8	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	19.872	18.4	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W29	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	20	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	10.8	10	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W20	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	12	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	6.48	6	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W20	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	10	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	5.4	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W21	APPLE	DIPEL DF BIOLOGICAL INSECTICIDE DRY FLOWABLE	10	BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES	5.4	5	A	G
NO	2017	18-MAR-17	SONOMA	49M07N09W27	APPLE	DUPONT KOCIDE 3000 FUNGICIDE/BACTERICIDE	60	COPPER HYDROXIDE	27.66	20	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W29	APPLE	ENTRUST	1.35	SPINOSAD	1.08	3.6	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W20	APPLE	ENTRUST	1.725	SPINOSAD	1.38	4.6	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W21	APPLE	ENTRUST	1.5	SPINOSAD	1.2	4	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W29	APPLE	ENTRUST	1.2	SPINOSAD	.96	3.2	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W28	APPLE	ENTRUST	3	SPINOSAD	2.4	8	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W29	APPLE	ENTRUST	1.5	SPINOSAD	1.2	4	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W20	APPLE	ENTRUST	1.875	SPINOSAD	1.5	5	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W21	APPLE	ENTRUST	15	SPINOSAD	12	40	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W20	APPLE	ENTRUST	8.625	SPINOSAD	6.9	23	A	G
NO	2017	14-JUL-17	SONOMA	49M07N09W21	APPLE	ENTRUST	2.25	SPINOSAD	1.8	6	A	G
NO	2017	23-JUN-17	SONOMA	49M07N09W20	APPLE	ENTRUST SC	.9313	SPINOSAD	.2095425	3	A	G
NO	2017	31-MAY-17	SONOMA	49M07N09W27	APPLE	GASTOXIN FUMIGATION TABLETS	3.76	ALUMINUM PHOSPHIDE	2.1432	20	A	G
NO	2017	31-JUL-17	SONOMA	49M07N09W27	APPLE	GASTOXIN FUMIGATION TABLETS	3.76	ALUMINUM PHOSPHIDE	2.1432	20	A	G
NO	2017	30-JUN-17	SONOMA	49M07N09W27	APPLE	GASTOXIN FUMIGATION TABLETS	3.76	ALUMINUM PHOSPHIDE	2.1432	20	A	G
NO	2017	16-APR-17	SONOMA	49M07N09W22	APPLE	GLACIAL SPRAY FLUID	30.3794	PETROLEUM OIL, UNCLASSIFIED	29.8933296	2	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	180	SULFUR	165.6	12	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	150	SULFUR	138	10	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	54	SULFUR	49.68	3.6	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	440	SULFUR	404.8	44	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	60	SULFUR	55.2	6	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	40	SULFUR	36.8	4	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	110	SULFUR	101.2	11	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	100	SULFUR	92	10	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	38	SULFUR	34.96	3.8	A	G
NO	2017	08-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	20	SULFUR	18.4	2	A	G
NO	2017	08-MAY-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	110	SULFUR	101.2	11	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	120	SULFUR	110.4	12	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	393	SULFUR	361.56	26.2	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	90	SULFUR	82.8	6	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	120	SULFUR	110.4	8	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	120	SULFUR	110.4	12	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W27	APPLE	GOLDEN MICRONIZED SULFUR	16	SULFUR	14.72	1.6	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	180	SULFUR	165.6	12	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	150	SULFUR	138	10	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	45	SULFUR	41.4	3	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W22	APPLE	GOLDEN MICRONIZED SULFUR	45	SULFUR	41.4	3	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W22	APPLE	GOLDEN MICRONIZED SULFUR	54	SULFUR	49.68	3.6	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	150	SULFUR	138	10	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	69	SULFUR	63.48	4.6	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	90	SULFUR	82.8	6	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W27	APPLE	GOLDEN MICRONIZED SULFUR	16	SULFUR	14.72	1.6	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	184	SULFUR	169.28	18.4	A	G
NO	2017	08-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	300	SULFUR	276	30	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	280	SULFUR	257.6	28	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	450	SULFUR	414	30	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	60	SULFUR	55.2	4	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	48	SULFUR	44.16	3.2	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	32	SULFUR	29.44	3.2	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	60	SULFUR	55.2	6	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	44	SULFUR	40.48	4.4	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	60	SULFUR	55.2	4	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	150	SULFUR	138	10	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	32	SULFUR	29.44	3.2	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W22	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	60	SULFUR	55.2	6	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	615	SULFUR	565.8	41	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W27	APPLE	GOLDEN MICRONIZED SULFUR	18	SULFUR	16.56	1.2	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W27	APPLE	GOLDEN MICRONIZED SULFUR	21	SULFUR	19.32	1.4	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	90	SULFUR	82.8	6	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	60	SULFUR	55.2	4	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	180	SULFUR	165.6	12	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	165	SULFUR	151.8	11	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W22	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	400	SULFUR	368	40	A	G
NO	2017	31-MAR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	60	SULFUR	55.2	4	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	615	SULFUR	565.8	41	A	G
NO	2017	21-APR-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	75	SULFUR	69	5	A	G
NO	2017	01-APR-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	120	SULFUR	110.4	8	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W20	APPLE	GOLDEN MICRONIZED SULFUR	100	SULFUR	92	10	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	110	SULFUR	101.2	11	A	G
NO	2017	19-MAY-17	SONOMA	49M07N09W29	APPLE	GOLDEN MICRONIZED SULFUR	50	SULFUR	46	5	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W21	APPLE	GOLDEN MICRONIZED SULFUR	60	SULFUR	55.2	6	A	G
NO	2017	05-MAY-17	SONOMA	49M07N09W28	APPLE	GOLDEN MICRONIZED SULFUR	110	SULFUR	101.2	11	A	G
NO	2017	11-AUG-17	SONOMA	49M07N09W20	APPLE	IAP ORGANIC SUMMER 415 SPRAY OIL	10.647	MINERAL OIL	10.43406	3	A	G
NO	2017	23-JUN-17	SONOMA	49M07N09W20	APPLE	IAP ORGANIC SUMMER 415 SPRAY OIL	10.647	MINERAL OIL	10.43406	3	A	G
NO	2017	13-JUL-17	SONOMA	49M07N09W20	APPLE	IAP ORGANIC SUMMER 415 SPRAY OIL	10.647	MINERAL OIL	10.43406	3	A	G
NO	2017	12-JUL-17	SONOMA	49M07N09W27	APPLE	IMIDAN 70-WP	20	PHOSMET	14	4	A	G
NO	2017	25-JUN-17	SONOMA	49M07N09W27	APPLE	IMIDAN 70-WP	100	PHOSMET	70	20	A	G
NO	2017	05-APR-17	SONOMA	49M07N09W27	APPLE	INTREPID 2F	9.996	METHOXYFENOZIDE	2.259096	8	A	G
NO	2017	15-APR-17	SONOMA	49M07N09W27	APPLE	INTREPID 2F	24.99	METHOXYFENOZIDE	5.64774	20	A	G
NO	2017	04-APR-17	SONOMA	49M07N09W27	APPLE	INTREPID 2F	14.994	METHOXYFENOZIDE	3.388644	12	A	G
NO	2017	18-MAR-17	SONOMA	49M07N09W21	APPLE	JMS STYLET-OIL	115.9536	PETROLEUM DISTILLATES, REFINED	112.5909456	4	A	G
